,ntacode,ntaname,count
809,004621012,004621,1
810,004621013,004621,0
811,004621016,004621,0
812,009237070,009237,0
813,002607039,002607,0
814,004588010,004588,0
815,004621020,004621,0
816,004621036,004621,0
817,004554010,004554,0
818,002521040,002521,0
819,002553017,002553,1
820,002615023,002615,0
821,004404019,004404,0
822,004404020,004404,0
823,004404021,004404,0
824,002599068,002599,0
825,004621060,004621,0
826,002597011,002597,0
827,006504090,006504,1
828,009119005,009119,4
829,008505062,008505,0
830,004638038,004638,0
831,002553040,002553,0
832,002209020,002209,0
833,002553041,002553,0
834,008507011,008507,1
835,002440060,002440,0
836,004641073,004641,0
837,005103016,005103,0
838,002611036,002611,1
839,001347073,001347,0
840,002560045,002560,0
841,002545023,002545,1
842,002409020,002409,0
843,002444042,002444,0
844,002409027,002409,0
845,002409034,002409,0
846,009263059,009263,0
847,009111022,009111,16
848,001328029,001328,0
849,005106011,005106,0
850,005106014,005106,0
851,004632045,004632,0
852,004632044,004632,0
853,004632046,004632,0
854,004604092,004604,0
855,001328031,001328,0
856,004628096,004628,0
857,004574004,004574,0
858,005507057,005507,0
859,009111074,009111,4
860,002428003,002428,0
861,005502082,005502,0
862,005502004,005502,1
863,004552063,004552,0
864,005502016,005502,0
865,005502031,005502,1
866,002104041,002104,1
867,009136011,009136,0
868,004622004,004622,0
869,002529080,002529,0
870,004631049,004631,0
871,004631050,004631,0
872,004631051,004631,0
873,004632027,004632,0
874,001347030,001347,0
875,004632031,004632,0
876,004632032,004632,0
877,001348023,001348,0
878,002513099,002513,0
879,009257048,009257,0
880,009257051,009257,0
881,005652090,005652,0
882,002411059,002411,0
883,002408021,002408,0
884,002434061,002434,0
885,009124009,009124,1
886,002411065,002411,0
887,009124026,009124,2
888,009124057,009124,5
889,002599067,002599,0
890,002416007,002416,0
891,007305006,007305,0
892,005623013,005623,0
893,008544006,008544,0
894,001414065,001414,0
895,002599034,002599,0
896,002409017,002409,0
897,002614013,002614,0
898,005657018,005657,0
899,003107010,003107,0
900,004641015,004641,0
901,004641018,004641,0
902,004641024,004641,0
903,009257060,009257,0
904,009257061,009257,0
905,002521024,002521,0
906,003210005,003210,0
907,009254080,009254,1
908,004641025,004641,0
909,004628018,004628,0
910,002521027,002521,0
911,004622016,004622,0
912,002521037,002521,0
913,002521051,002521,0
914,004628019,004628,0
915,004628022,004628,0
916,005103030,005103,0
917,002627058,002627,0
918,002549090,002549,0
919,004538001,004538,0
920,003105014,003105,1
921,004105061,004105,0
922,004554084,004554,0
923,004555059,004555,0
924,007202011,007202,0
925,002508046,002508,0
926,002205041,002205,0
927,001406011,001406,0
928,009101007,009101,0
929,004589017,004589,0
930,001331079,001331,0
931,002553072,002553,0
932,002553061,002553,0
933,002553064,002553,0
934,002553067,002553,0
935,008507024,008507,0
936,007406005,007406,0
937,007406008,007406,0
938,009130095,009130,0
939,005636016,005636,0
940,002529047,002529,0
941,001315022,001315,0
942,005615006,005615,0
943,002448002,002448,0
944,005510013,005510,0
945,004403070,004403,0
946,004107026,004107,0
947,005102055,005102,0
948,002424005,002424,0
949,004642004,004642,0
950,004642005,004642,0
951,005632030,005632,0
952,005632031,005632,0
953,005632032,005632,0
954,005101046,005101,0
955,004556014,004556,0
956,005632028,005632,0
957,005632029,005632,1
958,005632033,005632,0
959,001403005,001403,0
960,005102021,005102,0
961,009205020,009205,0
962,005502055,005502,1
963,004604069,004604,0
964,004574006,004574,0
965,001331075,001331,0
966,009124011,009124,6
967,005102025,005102,1
968,002607084,002607,0
969,005102030,005102,0
970,004631066,004631,0
971,004604070,004604,1
972,004604071,004604,0
973,004604079,004604,0
974,004604085,004604,0
975,009130090,009130,0
976,006409002,006409,0
977,004631076,004631,0
978,004641019,004641,0
979,004631078,004631,1
980,004403071,004403,0
981,004403073,004403,0
982,004403077,004403,0
983,004641076,004641,0
984,001324092,001324,0
985,008535019,008535,0
986,002529049,002529,0
987,006420051,006420,0
988,002529048,002529,0
989,004641029,004641,0
990,004404001,004404,0
991,004404002,004404,0
992,004588037,004588,0
993,002203039,002203,0
994,005620037,005620,2
995,004637011,004637,1
996,008309020,008309,3
997,001416051,001416,0
998,001417018,001417,0
999,001417042,001417,0
1000,001417073,001417,0
1001,001417085,001417,0
1002,001418014,001418,0
1003,002420049,002420,0
1004,008515003,008515,8
1005,002420056,002420,0
1006,002529051,002529,0
1007,002529052,002529,1
1008,004619011,004619,0
1009,004620042,004620,0
1010,002529053,002529,2
1011,002420057,002420,0
1012,003106030,003106,0
1013,004631092,004631,0
1014,005202043,005202,0
1015,005202046,005202,0
1016,005202049,005202,0
1017,005202050,005202,0
1018,005308033,005308,0
1019,005401073,005401,0
1020,005634070,005634,0
1021,004404008,004404,0
1022,003104028,003104,0
1023,008312010,008312,1
1024,004580012,004580,0
1025,001324049,001324,0
1026,001324067,001324,0
1027,002615019,002615,0
1028,004620074,004620,0
1029,001416012,001416,0
1030,001416014,001416,0
1031,005503009,005503,2
1032,004641034,004641,0
1033,009237038,009237,1
1034,006313009,006313,2
1035,004302007,004302,0
1036,001416045,001416,0
1037,009263088,009263,0
1038,001416048,001416,0
1039,008544007,008544,0
1040,004307023,004307,2
1041,007405010,007405,0
1042,004308009,004308,0
1043,008544008,008544,0
1044,008544014,008544,0
1045,002529017,002529,0
1046,001418067,001418,0
1047,001418068,001418,0
1048,001418069,001418,0
1049,009254083,009254,0
1050,002435020,002435,0
1051,002435021,002435,0
1052,001324086,001324,0
1053,005105005,005105,0
1054,004580057,004580,0
1055,002509044,002509,0
1056,009120038,009120,0
1057,005105007,005105,0
1058,005105008,005105,0
1059,006511001,006511,0
1060,004308010,004308,0
1061,009120043,009120,0
1062,006313010,006313,1
1063,006313011,006313,0
1064,001333017,001333,0
1065,004504060,004504,2
1066,006514038,006514,0
1067,007406009,007406,0
1068,007406013,007406,1
1069,006410052,006410,0
1070,007406016,007406,0
1071,007406020,007406,0
1072,002529025,002529,0
1073,007406022,007406,0
1074,004404005,004404,0
1075,004404006,004404,0
1076,004404010,004404,0
1077,004404003,004404,0
1078,004404011,004404,0
1079,004404012,004404,0
1080,004404013,004404,1
1081,004404004,004404,0
1082,001416018,001416,0
1083,001416019,001416,0
1084,001416028,001416,0
1085,001416033,001416,0
1086,001416039,001416,0
1087,005503027,005503,0
1088,005503037,005503,0
1089,005503030,005503,0
1090,004210048,004210,0
1091,001306031,001306,0
1092,002582037,002582,0
1093,005207002,005207,2
