Direccion;Barrio;Latitud;Longitud;Tipo_vivienda;Dproymes;Localidad;Cod_proyecto;Proyecto;
Cl. 101A Sur # 14-05;Monte Blanco;4.49619186;-74.11883338;VIS;218;Usme;51058;Mirador de Bella Flora;
Dg. 68A Sur # 14R-65;La Aurora;4.52501382;-74.12299381;VIS;9;Usme;51061;Sue;
Dg. 42C Sur # 24B-10;El Ingles;4.58051744;-74.1249834;No VIS;3;Rafael Uribe Uribe;51066;Multi. Familiar Ingles;
Cl. 34 Sur # 52G-44;El Ingles;4.60366888;-74.12836334;No VIS;1;Puente Aranda;51068;Mult. Alcala;
Cl. 18 Sur # 19-70;Santander;4.59252268;-74.10814549;No VIS;108;Antonio Nariño;51074;Sorrento;
Cr. 11 Este # 68-61 Sur;Juan Rey;4.52890148;-74.09306943;VIS;5;San Cristóbal;51076;Reserva del Nogal;
Cr. 12 Este # 64A-49 Sur;Juan Rey;4.5264805;-74.08968896;VIS;2;San Cristóbal;51077;Reserva del Roble;
Cr. 81 # 65G-43 Sur;Bosa Centro;4.609971;-74.188275;VIS;50;Bosa;51078;Torrevento;
Av. Cr. 68 # 1-63;Trinidad Galan;4.6249;-74.1247;No VIS;9;Puente Aranda;55250;Americas 68 Eta. II;
Av. Cr. 72 # 67-75;Boyaca Real;4.6825;-74.0988;No VIS;30;Engativá;55283;Reserva 67;
Cr. 123A # 78B-21;Gran Granada;4.7241;-74.1317;No VIS;82;Engativá;55300;Parques de San Jerónimo;
Cl. 77B # 120A-48;Villas de Granada;4.723;-74.133;No VIS;55;Engativá;55301;Oeste;
Cr. 87B # 8A-72;El Tintal;4.648802;-74.148181;No VIS;62;Kennedy;55338;Castellon de los Condes;
Cl. 10B # 81F-20;Castilla;4.6402;-74.1449;No VIS;9;Kennedy;55930;Castilla La Nueva;
Cr. 105 # 16I-45;EL Carmen;4.6756;-74.1492;No VIS;6;Fontibón;55947;Arrayanes de Fontibón;
Cr. 123A # 77B-86;Gran Granada;4.7238;-74.132;No VIS;17;Engativá;55949;Alameda de San Diego;
Cr. 80 # 8-45;Castilla;4.6423;-74.1462;No VIS;52;Kennedy;55950;Camino de San Gabriel;
Cr. 88 # 8F-90;El Tintal;4.648802;-74.148181;No VIS;80;Kennedy;55956;Malaga;
Cr. 96G # 22M-64;EL Carmen;4.6754;-74.135;No VIS;17;Fontibón;55976;Hayuelos R9;
Cl. 6C # 82A-21;Castilla;4.642031;-74.153879;No VIS;94;Kennedy;55981;Cipres de Castilla;
Cl. 6C # 82A-91;Castilla;4.642031;-74.153879;No VIS;137;Kennedy;55986;Aralia de Castilla;
Cl. 17 # 96-20;Villamar;4.665291;-74.140349;No VIS;109;Fontibón;55987;Toscana Torres de Hayuelos;
Av. Cr. 86 # 13B-80;Andalucia;4.6549;-74.1404;No VIS;5;Kennedy;55992;Canela;
Cl. 25B # 71-80;Ciudad Salitre;4.6641;-74.1121;No VIS;71;Fontibón;56000;Gran Reserva de Oporto;
Cr. 88 # 8F-90;El Tintal;4.648802;-74.148181;No VIS;151;Kennedy;56003;Paseo de Sevilla;
Cr. 86 # 7D-35;El Tintal;4.6493;-74.1493;No VIS;125;Kennedy;56019;Castilla Imperial;
Av. Cr. 86 # 10-50;Castilla;4.6496;-74.1459;No VIS;82;Kennedy;56023;Casteló Natura Aptos;
Cr. 96B # 17B-60;Villamar;4.6681;-74.1396;No VIS;9;Fontibón;56024;Hayuelos Park;
